地區,發病年份,性別,年齡層,確定病例數
新北市,2020,0,20,1
新北市,2020,0,65,1
新北市,2020,1,45,1
新北市,2020,1,50,1
新北市,2020,0,30,1
新北市,2020,0,40,1
新北市,2020,0,70,1
新北市,2020,1,50,1
新北市,2020,1,70,1
台北市,2020,0,15,1
台北市,2020,0,35,1
台北市,2020,0,45,1
台北市,2020,0,45,1
台北市,2020,0,50,1
台北市,2020,1,20,1
台北市,2020,1,35,1
新北市,2020,0,30,1
新北市,2020,0,55,1
新北市,2020,1,15,1
新北市,2020,1,25,1
新北市,2020,1,35,1
新北市,2020,1,50,1
新北市,2020,1,70,1
台北市,2020,1,20,1
新北市,2020,1,25,1
台北市,2021,0,5,1
台北市,2021,0,35,1
台北市,2021,0,45,1
台北市,2021,0,45,1
台北市,2021,0,50,1
台北市,2021,1,5,1
新北市,2021,0,30,1
新北市,2021,0,35,1
新北市,2021,0,35,1
新北市,2021,0,50,1
新北市,2021,0,60,1
新北市,2021,0,60,1
新北市,2021,0,65,1
新北市,2021,1,20,1
新北市,2021,1,30,1
新北市,2021,1,40,1
新北市,2021,1,45,1
新北市,2021,1,55,1
新北市,2021,1,65,1
新北市,2021,1,70,1
新北市,2021,1,70,1
台北市,2021,0,5,1
台北市,2021,0,5,1
台北市,2021,0,5,2
台北市,2021,0,5,1
台北市,2021,0,15,1
台北市,2021,0,15,1
台北市,2021,0,15,1
台北市,2021,0,15,1
台北市,2021,0,15,2
台北市,2021,0,15,2
台北市,2021,0,15,1
台北市,2021,0,15,7
台北市,2021,0,5,1
台北市,2021,0,5,1
台北市,2021,0,20,3
台北市,2021,0,20,3
台北市,2021,0,20,2
台北市,2021,0,20,2
台北市,2021,0,20,1
台北市,2021,0,20,4
台北市,2021,0,20,2
台北市,2021,0,20,5
台北市,2021,0,20,2
台北市,2021,0,20,12
台北市,2021,0,25,6
台北市,2021,0,25,6
台北市,2021,0,25,5
台北市,2021,0,25,7
台北市,2021,0,25,3
台北市,2021,0,25,3
台北市,2021,0,25,8
台北市,2021,0,25,7
台北市,2021,0,25,7
台北市,2021,0,25,1
台北市,2021,0,25,19
台北市,2021,0,5,1
台北市,2021,0,30,2
台北市,2021,0,30,4
台北市,2021,0,30,6
台北市,2021,0,30,8
台北市,2021,0,30,6
台北市,2021,0,30,4
台北市,2021,0,30,10
台北市,2021,0,30,4
台北市,2021,0,30,2
台北市,2021,0,30,6
台北市,2021,0,30,4
台北市,2021,0,30,33
台北市,2021,0,35,5
台北市,2021,0,35,6
台北市,2021,0,35,4
台北市,2021,0,35,7
台北市,2021,0,35,5
台北市,2021,0,35,4
台北市,2021,0,35,8
台北市,2021,0,35,7
台北市,2021,0,35,4
台北市,2021,0,35,7
台北市,2021,0,35,4
台北市,2021,0,35,58
台北市,2021,0,5,1
台北市,2021,0,40,7
台北市,2021,0,40,5
台北市,2021,0,40,3
台北市,2021,0,40,8
台北市,2021,0,40,5
台北市,2021,0,40,3
台北市,2021,0,40,13
台北市,2021,0,40,4
台北市,2021,0,40,4
台北市,2021,0,40,8
台北市,2021,0,40,70
台北市,2021,0,45,5
台北市,2021,0,45,11
台北市,2021,0,45,9
台北市,2021,0,45,5
台北市,2021,0,45,13
台北市,2021,0,45,3
台北市,2021,0,45,8
台北市,2021,0,45,4
台北市,2021,0,45,9
台北市,2021,0,45,1
台北市,2021,0,45,84
台北市,2021,0,50,11
台北市,2021,0,50,13
台北市,2021,0,50,3
台北市,2021,0,50,4
台北市,2021,0,50,8
台北市,2021,0,50,6
台北市,2021,0,50,12
台北市,2021,0,50,6
台北市,2021,0,50,2
台北市,2021,0,50,3
台北市,2021,0,50,2
台北市,2021,0,50,145
台北市,2021,0,55,9
台北市,2021,0,55,16
台北市,2021,0,55,6
台北市,2021,0,55,12
台北市,2021,0,55,5
台北市,2021,0,55,2
台北市,2021,0,55,14
台北市,2021,0,55,6
台北市,2021,0,55,8
台北市,2021,0,55,4
台北市,2021,0,55,5
台北市,2021,0,55,133
台北市,2021,0,60,9
台北市,2021,0,60,10
台北市,2021,0,60,8
台北市,2021,0,60,13
台北市,2021,0,60,14
台北市,2021,0,60,10
台北市,2021,0,60,10
台北市,2021,0,60,6
台北市,2021,0,60,6
台北市,2021,0,60,5
台北市,2021,0,60,3
台北市,2021,0,60,87
台北市,2021,0,65,11
台北市,2021,0,65,7
台北市,2021,0,65,6
台北市,2021,0,65,6
台北市,2021,0,65,8
台北市,2021,0,65,7
台北市,2021,0,65,16
台北市,2021,0,65,9
台北市,2021,0,65,7
台北市,2021,0,65,11
台北市,2021,0,65,3
台北市,2021,0,65,72
台北市,2021,0,70,13
台北市,2021,0,70,15
台北市,2021,0,70,16
台北市,2021,0,70,11
台北市,2021,0,70,11
台北市,2021,0,70,6
台北市,2021,0,70,21
台北市,2021,0,70,11
台北市,2021,0,70,12
台北市,2021,0,70,17
台北市,2021,0,70,10
台北市,2021,0,70,66
台北市,2021,1,5,1
台北市,2021,1,5,1
台北市,2021,1,5,1
台北市,2021,1,5,2
台北市,2021,1,5,1
台北市,2021,1,5,1
台北市,2021,1,5,1
台北市,2021,1,5,1
台北市,2021,1,15,3
台北市,2021,1,15,1
台北市,2021,1,15,2
台北市,2021,1,15,4
台北市,2021,1,15,2
台北市,2021,1,15,3
台北市,2021,1,15,2
台北市,2021,1,15,9
台北市,2021,1,5,1
台北市,2021,1,5,1
台北市,2021,1,20,8
台北市,2021,1,20,2
台北市,2021,1,20,3
台北市,2021,1,20,2
台北市,2021,1,20,5
台北市,2021,1,20,4
台北市,2021,1,20,4
台北市,2021,1,20,7
台北市,2021,1,25,7
台北市,2021,1,25,3
台北市,2021,1,25,3
台北市,2021,1,25,2
台北市,2021,1,25,7
台北市,2021,1,25,1
台北市,2021,1,25,3
台北市,2021,1,25,2
台北市,2021,1,25,3
台北市,2021,1,25,5
台北市,2021,1,25,2
台北市,2021,1,25,18
台北市,2021,1,5,1
台北市,2021,1,5,1
台北市,2021,1,5,2
台北市,2021,1,30,6
台北市,2021,1,30,2
台北市,2021,1,30,1
台北市,2021,1,30,6
台北市,2021,1,30,2
台北市,2021,1,30,3
台北市,2021,1,30,4
台北市,2021,1,30,2
台北市,2021,1,30,8
台北市,2021,1,30,3
台北市,2021,1,30,3
台北市,2021,1,30,16
台北市,2021,1,35,3
台北市,2021,1,35,3
台北市,2021,1,35,6
台北市,2021,1,35,6
台北市,2021,1,35,8
台北市,2021,1,35,7
台北市,2021,1,35,9
台北市,2021,1,35,7
台北市,2021,1,35,2
台北市,2021,1,35,3
台北市,2021,1,35,6
台北市,2021,1,35,24
台北市,2021,1,5,1
台北市,2021,1,5,1
台北市,2021,1,5,1
台北市,2021,1,40,5
台北市,2021,1,40,4
台北市,2021,1,40,7
台北市,2021,1,40,4
台北市,2021,1,40,8
台北市,2021,1,40,3
台北市,2021,1,40,8
台北市,2021,1,40,7
台北市,2021,1,40,8
台北市,2021,1,40,10
台北市,2021,1,40,4
台北市,2021,1,40,34
台北市,2021,1,45,6
台北市,2021,1,45,4
台北市,2021,1,45,3
台北市,2021,1,45,3
台北市,2021,1,45,4
台北市,2021,1,45,3
台北市,2021,1,45,7
台北市,2021,1,45,2
台北市,2021,1,45,2
台北市,2021,1,45,7
台北市,2021,1,45,4
台北市,2021,1,45,33
台北市,2021,1,50,5
台北市,2021,1,50,9
台北市,2021,1,50,7
台北市,2021,1,50,9
台北市,2021,1,50,9
台北市,2021,1,50,5
台北市,2021,1,50,11
台北市,2021,1,50,9
台北市,2021,1,50,7
台北市,2021,1,50,5
台北市,2021,1,50,3
台北市,2021,1,50,49
台北市,2021,1,55,8
台北市,2021,1,55,8
台北市,2021,1,55,9
台北市,2021,1,55,9
台北市,2021,1,55,10
台北市,2021,1,55,11
台北市,2021,1,55,11
台北市,2021,1,55,5
台北市,2021,1,55,2
台北市,2021,1,55,13
台北市,2021,1,55,5
台北市,2021,1,55,82
台北市,2021,1,60,12
台北市,2021,1,60,19
台北市,2021,1,60,16
台北市,2021,1,60,12
台北市,2021,1,60,8
台北市,2021,1,60,4
台北市,2021,1,60,11
台北市,2021,1,60,7
台北市,2021,1,60,10
台北市,2021,1,60,14
台北市,2021,1,60,6
台北市,2021,1,60,85
台北市,2021,1,65,12
台北市,2021,1,65,17
台北市,2021,1,65,7
台北市,2021,1,65,11
台北市,2021,1,65,18
台北市,2021,1,65,12
台北市,2021,1,65,13
台北市,2021,1,65,8
台北市,2021,1,65,8
台北市,2021,1,65,16
台北市,2021,1,65,9
台北市,2021,1,65,100
台北市,2021,1,70,17
台北市,2021,1,70,26
台北市,2021,1,70,20
台北市,2021,1,70,14
台北市,2021,1,70,24
台北市,2021,1,70,6
台北市,2021,1,70,29
台北市,2021,1,70,9
台北市,2021,1,70,11
台北市,2021,1,70,21
台北市,2021,1,70,13
台北市,2021,1,70,128
新北市,2021,0,5,1
新北市,2021,0,5,1
新北市,2021,0,5,1
新北市,2021,0,5,1
新北市,2021,0,5,1
新北市,2021,0,5,1
新北市,2021,0,5,2
新北市,2021,0,5,1
新北市,2021,0,5,3
新北市,2021,0,5,1
新北市,2021,0,15,2
新北市,2021,0,15,7
新北市,2021,0,15,2
新北市,2021,0,15,2
新北市,2021,0,15,5
新北市,2021,0,15,1
新北市,2021,0,15,1
新北市,2021,0,15,2
新北市,2021,0,15,8
新北市,2021,0,15,1
新北市,2021,0,15,2
新北市,2021,0,5,2
新北市,2021,0,5,3
新北市,2021,0,5,1
新北市,2021,0,5,1
新北市,2021,0,20,15
新北市,2021,0,20,3
新北市,2021,0,20,4
新北市,2021,0,20,7
新北市,2021,0,20,3
新北市,2021,0,20,4
新北市,2021,0,20,1
新北市,2021,0,20,14
新北市,2021,0,20,1
新北市,2021,0,20,4
新北市,2021,0,20,4
新北市,2021,0,20,3
新北市,2021,0,20,1
新北市,2021,0,25,1
新北市,2021,0,25,12
新北市,2021,0,25,1
新北市,2021,0,25,10
新北市,2021,0,25,19
新北市,2021,0,25,2
新北市,2021,0,25,7
新北市,2021,0,25,3
新北市,2021,0,25,1
新北市,2021,0,25,23
新北市,2021,0,25,1
新北市,2021,0,25,1
新北市,2021,0,25,4
新北市,2021,0,25,7
新北市,2021,0,25,3
新北市,2021,0,5,2
新北市,2021,0,5,2
新北市,2021,0,5,1
新北市,2021,0,30,11
新北市,2021,0,30,1
新北市,2021,0,30,5
新北市,2021,0,30,18
新北市,2021,0,30,2
新北市,2021,0,30,8
新北市,2021,0,30,3
新北市,2021,0,30,3
新北市,2021,0,30,23
新北市,2021,0,30,4
新北市,2021,0,30,1
新北市,2021,0,30,1
新北市,2021,0,30,8
新北市,2021,0,30,9
新北市,2021,0,30,1
新北市,2021,0,30,12
新北市,2021,0,35,1
新北市,2021,0,35,14
新北市,2021,0,35,2
新北市,2021,0,35,9
新北市,2021,0,35,24
新北市,2021,0,35,3
新北市,2021,0,35,9
新北市,2021,0,35,4
新北市,2021,0,35,4
新北市,2021,0,35,44
新北市,2021,0,35,2
新北市,2021,0,35,5
新北市,2021,0,35,1
新北市,2021,0,35,8
新北市,2021,0,35,22
新北市,2021,0,35,4
新北市,2021,0,35,7
新北市,2021,0,35,2
新北市,2021,0,5,1
新北市,2021,0,5,1
新北市,2021,0,5,3
新北市,2021,0,5,1
新北市,2021,0,5,1
新北市,2021,0,5,1
新北市,2021,0,5,1
新北市,2021,0,5,1
新北市,2021,0,5,1
新北市,2021,0,40,24
新北市,2021,0,40,1
新北市,2021,0,40,12
新北市,2021,0,40,27
新北市,2021,0,40,6
新北市,2021,0,40,15
新北市,2021,0,40,7
新北市,2021,0,40,3
新北市,2021,0,40,43
新北市,2021,0,40,1
